new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
4,0,1,1,1,40,512,10,414210.2
2,0,1,1,0,30,2,8,117705.4
2,1,1,1,1,20,16,2,17699.8
4,1,0,1,0,90,512,10,415246.8
3,0,1,0,1,20,512,10,49333.8
4,0,1,0,1,40,128,0,8969.8
5,1,0,0,0,30,32,2,9260.4
1,1,0,0,1,30,4096,4,11949.2
1,0,1,1,1,70,64,0,17688.6
1,1,0,0,1,70,16,8,95267.8
3,0,0,1,0,50,2,6,15566.6
2,1,0,1,1,80,256,6,90816.6
3,0,1,1,0,90,16,4,12195.6
4,1,1,0,0,40,512,8,40708.2
2,1,1,1,1,20,32,8,104341.8
2,1,1,1,0,50,128,2,17614.0
2,0,0,1,0,90,4,8,113916.0
1,0,0,0,1,50,4,2,17773.6
3,0,1,1,1,30,512,8,38582.6
1,0,1,0,0,80,2048,8,101740.0
1,1,1,1,0,40,64,6,91306.6
1,0,1,1,0,30,1,2,17674.0
2,0,1,1,0,0,64,10,131896.2
4,1,1,1,0,20,64,0,35419.8
3,1,0,0,1,70,1,10,50125.0
2,1,1,0,0,80,8,6,76295.0
5,1,1,1,0,80,64,2,9180.4
2,0,1,1,1,100,128,2,17686.0
4,1,0,0,0,90,32,2,8936.4
3,0,0,0,1,30,128,8,38286.4
4,1,1,0,1,10,256,2,9257.6
4,0,0,1,1,40,2,8,124074.2
5,0,0,0,0,30,16,10,301284.8
4,1,1,0,0,100,1,4,20182.6
2,1,1,0,1,100,2048,4,4354.8
5,1,1,0,0,90,8,2,9180.4
1,1,1,0,1,90,1024,2,17740.8
4,0,0,1,1,60,128,2,36091.6
5,1,0,1,0,90,32,0,9168.4
1,1,1,1,0,20,4096,0,17700.0
1,0,1,1,1,50,1,2,17730.4
3,1,1,1,1,80,4,10,46689.0
4,1,1,0,1,80,32,10,115437.4
2,1,1,1,1,20,8,10,109407.6
5,0,0,0,0,100,256,6,47713.8
2,0,0,1,1,100,2,6,107161.2
2,0,0,1,1,100,4096,10,102908.0
2,1,1,0,1,60,2048,0,4709.2
5,1,1,1,0,20,4,6,47531.8
2,1,0,1,1,40,2,2,17634.2
4,1,0,1,0,10,8,0,35851.0
2,0,1,1,1,90,1024,6,90970.4
2,1,0,1,1,60,1,4,15256.2
4,0,0,1,0,50,64,8,124942.6
3,0,0,0,0,60,256,4,12232.6
4,1,1,0,0,50,32,6,19684.6
3,1,1,0,1,50,64,0,12292.8
5,1,0,0,0,30,16,10,301238.8
4,1,0,1,1,0,1024,2,35610.8
1,1,1,1,0,50,128,4,11860.4
1,0,0,1,0,30,1,0,17769.4
5,0,1,1,0,40,64,10,300087.0
1,1,1,1,0,100,1,4,15268.6
1,0,1,0,0,90,256,10,100504.8
3,0,1,0,0,0,4096,6,20766.0
1,0,1,0,0,40,2,8,80218.4
1,1,1,0,0,60,1024,2,17754.8
5,0,0,1,1,20,256,4,9185.8
1,1,1,1,0,30,4,6,103106.0
2,0,0,1,0,100,128,0,17662.2
4,0,0,0,0,30,1,2,10077.6
1,1,1,1,0,60,1,10,125612.2
1,0,1,0,0,10,1024,10,99862.2
5,0,1,1,0,20,1024,10,300181.8
4,1,1,1,1,90,1024,8,125246.2
3,1,1,1,1,90,2,0,13127.2
3,0,0,0,0,0,16,10,48265.6
5,1,1,0,1,50,16,2,9113.4
1,1,1,1,0,20,4,2,17945.6
1,1,1,1,1,50,32,8,103891.2
4,1,1,1,0,100,1024,2,35786.4
2,0,1,0,0,10,4096,4,5730.0
2,1,0,1,1,70,32,0,17736.2
4,1,0,0,0,100,2,6,26257.8
4,1,0,0,0,30,32,8,40867.6
4,1,0,1,0,90,32,10,415530.6
5,1,1,1,1,0,128,2,9271.8
5,1,0,1,0,40,4096,8,122031.8
5,1,1,0,1,30,4,0,9106.8
5,0,1,1,1,90,32,8,121453.6
1,0,0,1,0,20,4,4,12565.2
1,1,1,1,1,30,8,4,12202.6
3,1,1,1,0,80,2048,2,12068.8
4,0,0,0,0,90,1024,4,12763.6
1,0,1,1,1,100,2,4,13316.4
5,1,0,0,0,0,256,2,9252.6
2,0,1,1,0,100,4,10,114141.0
5,1,1,1,0,20,64,4,9135.4
2,1,1,0,1,10,16,4,5523.0
5,1,1,1,1,100,16,6,47459.4
