ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,80580.0
0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,71169.2
0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,63813.8
0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,63831.2
1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,87866.0
0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,94715.2
1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,85652.8
0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,73472.0
1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,85594.8
0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,65874.2
0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,79520.2
1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,85359.0
1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,59093.8
1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,67687.2
0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,91242.8
1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,73279.4
1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,73898.6
1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,70057.0
0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,60886.6
0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,80038.6
0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,87655.2
1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,76649.4
0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,73082.4
1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,91159.8
1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,91563.4
0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,81065.8
1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,59618.2
1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,75317.2
0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,69477.2
0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,84145.6
0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,77264.0
0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,72183.6
0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,86817.0
1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,73265.2
0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,89550.2
0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,70316.6
0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,79082.0
0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,81955.6
1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,85456.8
1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,66302.0
0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,63631.6
0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,93157.6
0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,91943.0
0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,65773.6
1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,79741.0
0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,92305.0
1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,82810.2
0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,88022.8
0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,88601.4
1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,73041.6
0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,87382.2
1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,86351.4
0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,62124.4
1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,87379.8
0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,94310.4
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,58903.8
1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,94003.0
0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,73638.2
1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,98184.0
1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,93366.0
0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,78861.4
1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,87054.2
0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,75765.0
0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,66285.0
0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,101245.8
0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,65340.8
0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,92827.2
0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,63270.8
1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,87837.2
0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,80795.0
0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,84535.8
1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,84111.4
1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,63485.4
0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,75130.2
0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,92058.2
1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,89806.4
1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,90824.2
1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,73011.4
0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,72243.8
1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,91088.6
1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,87448.0
0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,83928.4
1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,85542.0
0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,70434.8
