WindowSize,CompressionLevel,Performance
22,8,25.432
10,1,1.666
10,8,5.046
14,7,5.896
21,7,15.806
24,0,1.574
21,11,244.72
24,9,108.602
19,4,2.8
14,4,2.894
14,9,7.404
24,2,2.04
22,8,25.432
10,4,3.02
16,11,284.296
13,11,315.078
14,10,301.488
11,9,6.286
17,5,5.886
21,7,15.806
18,4,2.824
24,9,108.602
23,8,37.284
10,8,5.046
13,7,5.554
22,3,2.5
21,6,10.46
22,3,2.5
13,4,2.972
23,6,10.22
19,9,14.048
13,9,6.862
16,3,2.508
24,11,394.158
22,0,1.596
13,11,315.078
24,5,7.154
17,10,307.144
18,3,2.562
11,4,3.04
21,2,2.06
22,6,10.266
12,9,6.47
22,5,7.198
17,1,1.612
15,0,1.534
18,0,1.628
21,2,2.06
12,5,3.746
12,5,3.746
12,4,3.004
12,1,1.542
23,9,63.68
13,3,2.37
10,10,363.364
22,11,259.594
12,3,2.426
14,2,1.9
23,4,2.726
16,9,9.094
18,6,7.51
15,11,292.192
16,7,6.998
17,8,8.454
17,3,2.564
15,6,5.306
14,6,4.874
20,0,1.63
24,10,392.744
16,7,6.998
10,0,1.662
15,3,2.392
23,3,2.478
21,1,1.598
20,8,14.64
13,1,1.514
21,10,244.734
23,8,37.284
20,1,1.636
12,3,2.426
19,6,9.336
17,7,7.636
20,8,14.64
21,9,23.614
11,9,6.286
12,6,3.846
16,8,7.548
20,8,14.64
16,2,2.026
10,10,363.364
10,8,5.046
10,2,2.146
14,11,301.078
24,10,392.744
20,0,1.63
16,5,5.392
13,2,1.942
12,7,5.266
12,0,1.528
12,10,328.816
