spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,0,0,0,0,0,1,0,1,1,1,0,1,0,0.004872678413723128
0,0,1,0,0,0,0,0,1,1,0,0,1,1,0.0010317727775831858
1,1,1,0,0,1,0,1,1,1,0,1,0,0,0.992076696831394
0,1,0,0,1,0,1,0,1,1,1,0,1,1,0.0228179069596654
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0.9970466765395453
1,1,1,0,1,1,0,1,0,1,1,0,0,1,0.9931435392479306
1,0,0,1,1,1,0,1,1,0,0,0,0,1,0.9929703261391799
1,1,0,1,1,1,0,0,0,1,0,0,1,1,0.9940621373647479
0,0,0,1,0,0,1,1,0,0,0,1,1,0,0.004915081516756394
1,0,1,0,0,0,1,1,1,0,0,1,1,0,0.09933315159198537
0,1,1,1,0,0,0,0,0,0,1,1,1,0,0.0040373855657788935
1,1,1,0,1,0,1,1,1,1,1,0,0,0,0.9940793814568432
1,0,1,1,0,0,0,0,1,0,1,0,1,0,0.9980828962147491
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.9920168664613785
0,1,0,0,1,1,1,0,1,0,1,0,0,0,0.018783978666806634
1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.9980321639539823
0,1,0,1,0,0,1,0,1,1,0,0,1,0,0.0049222706480868605
0,0,0,0,1,0,1,1,1,0,1,1,1,0,0.020846170112597404
1,1,1,0,1,0,0,0,1,0,1,0,1,1,0.9940068708530037
0,0,1,0,1,0,0,0,1,0,1,0,0,1,0.03078194409478702
0,0,0,0,0,0,0,1,1,1,0,0,1,1,0.0009112105702953904
0,0,1,0,0,1,0,1,0,1,0,1,0,0,0.005995578883356264
0,1,1,0,1,1,1,1,1,1,0,0,0,0,0.014829907259577503
1,0,0,1,1,1,1,1,1,1,1,1,0,0,0.9930497216889407
1,0,1,1,0,0,1,1,0,0,1,0,1,0,0.9980128514749239
0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.006983531986820525
0,1,0,0,1,1,1,0,0,0,0,0,0,1,0.01882560842391599
1,0,0,1,0,1,0,1,0,1,1,1,0,0,0.9920142146276526
0,0,1,1,1,1,0,0,1,1,0,0,1,1,0.006947362793286134
1,1,1,1,0,1,0,0,1,1,1,1,1,1,0.9929542735570583
0,0,1,0,0,1,0,0,0,1,1,1,1,0,0.006957007734733344
1,0,0,0,0,1,0,1,0,1,1,0,0,0,0.9920687833627054
0,0,1,1,1,1,1,1,1,1,0,0,1,0,0.005924368011499991
