new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
4,2,2,1,0,1,1,1,1,1,32.254
4,1,2,1,1,0,0,0,1,0,22.394
1,1,1,0,0,1,1,0,1,0,86.634
3,1,3,0,1,1,1,1,1,1,33.568
2,1,2,1,0,0,1,0,1,1,44.08
2,2,3,0,1,1,1,0,1,1,62.69
4,3,1,0,1,0,1,1,0,0,52.532
1,2,1,0,0,0,1,0,0,0,130.518
3,1,3,0,0,1,1,0,0,1,32.776
2,3,2,1,0,1,0,0,1,1,72.942
2,1,3,0,0,0,1,0,1,0,47.172
4,3,2,1,1,1,0,1,1,1,39.126
3,1,1,1,1,0,0,0,1,0,28.77
3,1,1,1,1,1,1,0,0,1,28.922
1,2,3,0,1,0,0,0,0,0,121.71
1,3,1,1,0,1,0,0,1,0,137.124
4,3,2,0,0,0,0,1,0,1,49.132
2,2,2,0,1,0,0,0,1,1,57.944
4,3,2,1,1,0,1,0,0,0,47.378
2,3,3,0,1,0,1,1,0,0,103.226
2,1,3,0,0,0,0,1,0,1,50.196
2,2,2,0,1,1,0,1,0,1,71.19
4,1,1,0,1,0,0,1,0,1,24.832
3,1,3,1,1,0,0,1,1,0,30.692
1,3,2,1,0,1,0,1,1,1,147.528
1,1,3,1,1,1,1,1,0,1,87.288
3,2,2,0,0,0,1,0,1,0,43.976
2,3,1,1,1,1,0,1,1,1,76.774
2,2,2,0,0,1,1,1,1,0,66.29
1,2,1,0,1,0,0,1,0,1,134.052
2,3,1,1,1,0,1,1,0,0,98.59
4,3,3,0,0,1,1,0,0,0,51.282
4,1,1,1,1,1,0,0,0,0,21.678
2,3,2,1,0,0,0,1,0,0,91.424
4,3,1,0,1,0,0,0,1,0,38.51
3,3,3,0,1,1,0,1,0,0,66.78
3,3,1,0,1,0,0,0,0,0,60.504
2,2,2,1,0,0,0,1,1,1,59.93
2,1,1,1,0,1,1,0,0,1,43.496
4,1,1,1,1,1,0,0,1,0,21.698
2,3,2,1,1,1,1,1,0,0,98.556
2,1,3,1,1,1,1,1,1,1,46.24
2,3,3,0,0,1,1,0,0,0,98.22
1,2,2,1,1,0,1,0,1,0,110.736
1,3,3,0,0,1,0,0,0,0,167.394
1,1,2,1,0,0,1,1,0,1,89.474
2,1,1,1,0,1,0,0,1,1,42.918
4,2,1,1,1,0,1,1,0,1,35.806
4,1,2,0,1,0,0,1,0,0,24.988
1,3,2,0,0,1,1,0,1,0,156.372
3,2,3,0,0,0,1,1,1,1,46.206
4,1,1,1,1,0,0,1,1,0,22.996
1,3,2,0,0,1,1,1,1,0,164.742
3,2,2,0,0,0,1,1,1,1,46.024
3,3,3,0,1,0,0,1,0,0,66.494
3,1,3,0,0,0,0,0,0,0,32.43
1,2,3,1,1,0,1,0,0,0,122.932
1,2,3,0,1,0,0,1,0,1,134.09
4,1,2,1,0,0,0,0,0,0,22.874
2,3,2,0,0,0,0,1,0,0,96.118
2,2,3,1,0,1,0,0,1,1,56.402
3,2,3,0,0,0,0,0,1,0,40.824
2,2,1,1,0,1,0,0,1,1,55.172
1,2,1,0,0,1,0,1,1,0,118.988
2,2,2,1,0,1,1,0,0,1,66.914
1,3,1,0,0,1,1,0,1,0,155.746
3,3,2,0,1,1,1,0,0,0,69.806
1,2,1,0,1,1,0,0,1,1,108.268
3,3,3,1,0,0,0,0,0,1,58.88
1,1,2,1,0,0,0,1,1,1,88.924
4,1,3,1,1,0,1,1,1,1,23.322
1,1,3,0,1,0,0,1,1,1,93.4
2,1,3,0,1,1,0,1,1,1,49.512
4,1,1,1,0,1,0,0,1,0,22.138
2,2,3,0,1,0,1,1,0,1,74.706
1,2,2,1,1,0,0,0,0,0,114.79
1,2,2,0,0,1,1,0,1,0,117.56
1,1,2,0,1,1,1,1,1,0,93.486
4,1,3,1,1,1,1,1,1,0,23.302
3,1,1,0,1,0,1,0,1,0,31.076
3,1,1,0,1,1,0,0,1,0,30.672
3,2,1,0,0,1,0,0,0,0,45.836
4,2,2,1,0,0,1,0,0,1,34.764
2,1,2,0,0,0,1,0,1,0,46.85
4,2,2,0,1,0,0,1,1,1,31.674
1,1,2,0,0,1,0,0,0,1,86.234
3,1,2,0,0,0,1,0,0,1,32.2
1,1,2,0,1,1,0,1,0,1,93.222
3,1,1,1,1,1,0,1,0,1,31.0
2,2,3,1,1,1,0,0,0,0,61.912
4,1,2,1,1,0,1,0,1,1,22.432
4,3,2,1,0,1,1,0,1,1,41.794
1,3,2,1,0,0,0,1,0,0,173.246
2,2,1,1,0,1,0,1,1,1,59.958
4,3,1,1,0,1,0,1,1,1,39.534
3,2,2,1,1,1,1,0,1,0,41.478
1,3,1,0,1,1,1,0,1,0,154.916
3,2,2,1,1,1,1,1,1,0,43.26
2,2,2,1,0,0,0,0,0,1,62.026
2,2,2,0,0,1,0,1,0,0,71.646
