Iteration,new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
0,5,0,0,1,0,90,8,4,9249.4
1,1,0,1,0,0,70,512,0,17745.8
2,1,0,1,0,1,10,1024,10,99580.2
3,4,1,1,0,0,100,2,0,9507.0
4,5,0,1,0,0,30,8,2,9152.8
5,2,1,1,1,0,10,16,4,12340.2
6,1,1,0,0,1,0,32,8,85421.2
7,5,0,0,0,1,30,4096,4,9133.4
8,2,0,1,0,1,80,512,6,85803.0
9,1,0,1,0,0,100,16,2,17712.4
10,2,0,0,0,0,0,1,6,82266.8
11,4,0,0,0,0,100,2,0,9537.6
12,1,1,0,0,1,100,32,8,99721.0
13,3,1,1,0,0,50,128,10,48846.2
14,5,1,1,1,1,100,8,0,9208.4
15,1,0,1,0,1,90,16,2,17675.6
16,1,1,1,0,1,100,512,8,101404.4
17,1,1,1,0,1,40,1,0,17679.4
18,5,0,1,0,0,0,8,2,9321.6
19,2,1,1,1,0,50,2,4,13340.8
20,2,1,1,0,1,80,256,6,85243.6
21,1,0,1,1,0,40,4096,8,103003.2
22,3,1,1,0,1,20,16,6,11104.0
23,2,0,0,1,1,50,64,10,102872.0
24,2,1,1,0,0,10,64,6,88248.4
25,4,0,0,0,0,40,4,4,14641.0
26,5,0,0,1,1,40,512,8,122013.0
27,5,1,1,0,0,100,256,2,9152.0
28,1,0,1,0,1,50,4,4,12451.6
29,3,1,1,1,1,70,16,10,47747.4
30,5,1,0,0,0,30,256,2,9228.0
31,5,0,0,0,0,60,4096,4,9147.0
32,5,0,0,0,1,60,4096,4,9161.0
33,5,0,0,0,0,60,2048,4,9209.4
34,5,0,0,0,0,30,4096,4,9100.2
35,5,0,0,1,1,30,1024,4,9163.8
36,4,0,0,0,0,30,4096,4,13208.6
37,5,0,0,0,1,30,4096,4,9133.4
38,5,0,0,0,0,30,4096,4,9100.2
39,3,0,0,0,0,20,2048,4,12137.2
40,5,0,0,0,0,30,128,4,9144.8
41,4,0,0,1,0,90,1024,10,415893.8
42,5,0,0,0,0,70,4096,0,9142.2
43,5,0,0,0,0,30,32,4,9109.2
44,3,0,0,0,0,10,4096,4,12426.6
45,5,0,0,0,0,80,1,0,9098.8
46,4,0,0,1,0,80,1,0,35880.2
47,5,0,0,0,0,80,1,0,9098.8
48,5,0,0,0,0,80,1,0,9098.8
49,3,0,0,0,0,80,1,0,14542.2
50,4,0,0,0,0,80,1,0,10028.0
51,5,0,0,1,0,80,1,0,9194.6
52,2,0,0,0,0,80,1,0,11228.4
53,5,0,0,0,0,0,2,0,9205.0
54,1,0,0,0,0,90,8,0,17739.8
55,2,0,0,1,0,80,128,0,17635.4
56,5,1,0,0,0,20,1,8,120987.0
57,3,0,0,0,0,80,64,6,10623.0
58,4,1,0,1,0,70,32,0,35684.6
59,1,0,0,0,0,10,512,10,99303.8
60,5,0,0,0,0,0,4,2,9268.8
61,2,1,1,0,0,80,1,0,11178.4
62,5,0,0,1,0,90,2048,8,121591.2
63,1,0,1,0,1,50,2,6,73544.8
64,5,1,0,0,0,40,1024,0,9254.0
65,3,0,0,0,1,100,8,2,12384.8
66,5,0,1,1,0,60,256,10,303513.2
67,2,1,0,0,0,20,16,0,5241.6
68,2,1,0,0,1,20,16,8,96916.8
69,2,1,1,0,0,20,16,6,85820.6
70,2,1,0,1,0,20,16,0,17777.8
71,2,1,0,0,1,20,16,2,5265.0
72,2,1,1,0,1,20,16,2,5264.4
73,2,1,1,0,1,20,16,2,5264.4
74,2,1,1,1,1,20,16,2,17699.8
75,2,1,1,0,1,20,16,2,5264.4
76,2,1,1,0,1,20,64,2,5038.6
77,2,1,1,0,1,70,64,2,4777.8
78,2,1,1,0,1,70,64,2,4777.8
79,2,1,1,1,1,70,64,2,17629.0
80,2,1,1,0,1,70,64,2,4777.8
81,2,1,1,0,1,70,64,2,4777.8
82,4,1,1,0,1,70,64,2,8923.6
83,2,1,1,1,1,70,64,2,17629.0
84,1,1,1,0,1,70,128,10,100384.6
85,3,1,1,0,1,70,512,2,12049.8
86,2,1,1,0,1,10,4,8,80858.4
87,4,1,1,1,1,70,64,6,49570.2
88,2,1,1,0,1,50,32,2,4863.6
89,1,1,1,0,1,0,2048,10,85516.8
90,3,1,1,0,1,40,64,2,12119.6
91,2,1,1,1,1,100,256,8,102630.4
92,4,1,1,0,1,60,1024,2,8927.2
93,2,1,1,0,1,90,2,6,74034.4
94,1,1,1,0,1,70,8,2,17762.2
95,2,1,1,1,1,70,64,10,102666.8
96,3,1,1,0,1,10,128,2,12322.0
97,4,1,1,0,1,50,512,8,39530.4
98,2,1,1,0,1,0,4,6,82113.4
99,2,1,1,1,1,40,32,2,17704.0
100,1,1,1,0,1,100,64,10,101791.2
101,2,1,1,0,1,70,64,2,4777.8
102,2,1,1,0,1,70,64,2,4777.8
103,2,1,1,0,1,70,64,2,4777.8
104,2,1,1,0,1,70,64,2,4777.8
105,2,1,1,0,1,70,2048,2,4759.2
106,2,1,1,0,1,60,2048,2,4698.8
107,2,1,1,0,1,60,2048,2,4698.8
108,2,1,1,0,1,60,2048,2,4698.8
109,2,1,1,0,1,60,2048,2,4698.8
110,3,1,1,0,1,60,2048,2,12031.2
111,2,1,1,0,1,60,2048,8,101620.6
112,2,1,1,0,1,60,2048,6,88463.2
113,4,1,1,0,1,60,2048,4,12904.4
114,2,1,1,0,1,60,2048,2,4698.8
115,2,1,1,0,1,60,2048,2,4698.8
116,1,1,1,0,1,60,2048,10,101715.6
117,3,1,1,0,1,60,2048,2,12031.2
118,2,1,1,0,1,60,2048,2,4698.8
119,2,1,1,0,1,60,1024,4,4417.4
120,4,1,1,1,1,60,1024,4,43549.0
121,2,1,1,0,1,90,1024,4,4315.8
122,2,1,1,0,1,90,1024,4,4315.8
123,1,1,1,0,1,90,1024,4,11782.8
124,3,1,1,1,1,90,1024,4,12079.0
125,2,1,1,0,1,90,1024,4,4315.8
126,2,1,1,0,1,90,1024,4,4315.8
127,4,1,1,0,1,90,1024,4,12775.2
128,2,1,1,0,1,90,1024,4,4315.8
129,1,1,1,1,1,90,1024,4,11756.2
130,2,1,1,0,1,90,1024,4,4315.8
131,3,1,1,0,1,90,1024,4,11973.0
132,2,1,1,0,1,90,256,4,4307.4
133,4,1,1,1,1,90,256,4,43535.2
134,2,1,1,0,1,90,256,4,4307.4
135,2,1,1,0,1,90,256,4,4307.4
136,1,1,1,0,1,90,256,4,11808.4
137,2,1,1,0,1,30,256,4,4569.6
138,3,1,1,1,1,10,256,4,12386.0
139,2,1,1,0,1,50,256,4,4536.0
140,5,1,1,0,1,0,256,4,9299.0
141,2,0,1,0,1,40,256,4,4606.8
142,4,1,1,0,1,90,256,4,12690.8
143,2,1,1,1,1,100,256,8,102630.4
144,1,1,1,0,1,90,256,6,88900.8
145,2,0,1,0,1,90,2,4,12800.0
146,3,1,1,0,1,30,8,4,12506.6
147,5,1,1,0,1,10,256,10,301887.2
148,2,1,1,1,1,50,128,4,11892.4
149,2,0,1,0,0,90,512,8,100767.2
150,4,1,0,0,1,0,4,6,27551.8
151,2,1,1,0,1,40,256,4,4567.4
152,2,1,1,0,1,100,32,4,4613.6
153,1,1,1,1,0,90,4096,10,102935.0
154,5,0,0,0,1,90,256,4,9137.2
155,2,1,1,0,1,30,2,8,80356.0
156,3,1,1,0,1,90,256,4,11992.6
157,2,1,1,0,0,10,8,6,76585.8
158,4,1,1,0,1,50,256,4,13096.4
159,2,0,0,1,1,80,128,0,17684.0
160,2,1,1,0,1,0,512,10,85358.0
161,1,1,1,0,1,40,4,4,12445.0
162,5,1,1,0,0,90,32,4,9133.8
163,2,1,1,0,1,100,256,8,101194.2
164,3,0,0,1,1,90,4096,6,10636.4
165,2,1,1,0,1,90,256,4,4307.4
166,4,1,1,0,1,90,2,0,9515.6
167,2,1,1,0,0,30,8,4,9184.8
168,2,1,0,0,1,10,256,10,99656.4
169,1,0,1,1,1,80,1,4,15238.2
170,2,1,1,0,1,50,128,4,4550.4
171,5,1,1,0,1,0,256,8,120854.4
172,3,1,1,0,0,90,512,4,12070.0
173,2,1,0,0,1,40,4,6,72718.8
174,2,0,1,1,1,100,32,0,17660.6
175,4,1,1,0,1,90,256,4,12690.8
176,2,1,1,0,1,20,4096,10,101240.4
177,1,1,1,0,0,90,256,4,11840.0
178,2,1,1,0,1,90,2,4,12736.4
179,5,0,0,1,1,30,1,4,9192.0
180,3,1,1,0,1,80,256,8,37979.8
181,2,1,1,0,1,10,8,6,76880.0
182,2,1,1,0,0,90,16,0,4959.0
183,4,1,1,0,1,50,256,4,13096.4
184,2,0,0,1,1,0,128,4,18574.6
185,1,1,1,0,1,40,512,10,101220.8
186,2,1,1,0,1,100,4,4,11942.8
187,5,1,1,0,0,90,32,4,9133.8
188,3,1,1,0,1,20,256,8,38348.2
189,2,0,0,1,1,90,4096,6,91035.0
190,2,1,1,0,1,90,256,0,4661.6
191,4,1,1,0,1,30,1,4,20393.4
192,2,1,1,0,0,80,2,4,12740.4
193,1,1,1,0,1,10,256,10,100229.4
194,2,0,0,1,1,90,8,4,12231.2
195,5,1,1,0,1,50,16,4,9199.2
196,3,1,1,0,1,0,256,8,44648.8
197,2,1,1,0,0,40,128,6,89289.8
198,2,1,1,0,1,100,512,0,4655.4
199,4,0,0,1,1,90,4,4,43351.6
200,2,1,1,0,1,20,32,4,4843.4
201,1,1,1,0,1,90,256,10,100535.6
202,2,1,1,0,0,90,4096,4,4297.8
203,5,1,1,0,0,30,4096,4,9123.0
204,3,0,0,1,0,80,4096,8,38062.8
205,2,1,1,0,0,10,4096,6,87917.4
206,2,1,1,0,0,90,4096,4,4297.8
207,4,1,1,0,0,50,4096,0,8934.4
208,2,1,1,0,0,0,4096,4,18005.4
209,2,1,0,0,0,90,4096,10,100783.2
210,1,0,1,1,0,40,4096,4,11892.0
211,5,1,1,0,0,100,4096,4,9126.8
212,2,1,1,0,0,90,4096,8,100448.2
213,3,1,1,0,0,20,4096,4,12220.4
214,2,1,0,0,0,90,4096,6,83102.0
215,4,0,1,1,0,30,4096,0,35955.2
216,2,1,1,0,0,90,4096,4,4297.8
217,2,1,1,0,0,80,4096,10,101387.8
218,1,1,1,0,0,10,4096,4,12388.2
219,2,1,1,0,0,90,4096,4,4297.8
220,5,0,0,1,0,50,4096,4,9145.4
221,3,1,1,0,0,0,4096,8,44268.0
222,2,1,1,0,0,40,4096,6,89600.4
223,2,1,1,0,0,100,4096,0,4653.0
224,4,1,1,0,0,90,4096,4,12701.4
225,2,0,0,1,0,20,1,4,15278.8
226,2,1,1,0,0,90,4096,4,4297.8
227,2,1,1,0,0,90,4096,4,4297.8
228,2,1,1,0,0,90,4096,4,4297.8
229,2,1,1,0,0,90,4096,4,4297.8
230,2,1,1,0,0,90,4096,4,4297.8
231,2,1,1,0,0,90,4096,4,4297.8
232,2,1,1,0,0,90,4096,4,4297.8
233,2,1,1,0,0,90,2,4,12725.4
234,2,1,1,0,0,90,4096,4,4297.8
235,2,1,1,0,0,90,8,4,9057.0
236,2,1,1,0,0,90,16,4,5022.8
237,2,1,1,0,0,70,128,4,4507.4
238,2,1,1,0,0,90,4096,4,4297.8
239,2,1,1,0,0,30,512,4,4611.6
240,2,1,1,0,0,80,4,10,80886.6
241,2,1,1,0,0,90,32,4,4411.0
242,2,1,1,0,0,10,4096,4,5737.8
243,1,1,1,0,0,50,4096,8,101309.6
