Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,84120.2
1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,83106.2
2,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,79438.8
3,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,70434.4
4,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,86379.4
5,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,83094.6
6,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,85946.8
7,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,87867.2
8,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,76579.6
9,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,89647.8
10,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,79101.8
11,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,75015.4
12,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,70208.6
13,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,71380.6
14,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,82026.8
15,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,62525.6
16,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,77272.2
17,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,97738.0
18,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,63612.4
19,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,92067.0
20,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,97399.2
21,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,86626.2
22,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,74290.2
23,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,88512.4
24,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,94609.4
25,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,95768.8
26,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,74287.0
27,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,81599.6
28,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,80507.0
29,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,81539.4
30,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,61606.2
31,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,61606.2
32,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,61606.2
33,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,61606.2
34,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,61606.2
35,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,61606.2
36,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,61606.2
37,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,61606.2
38,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,61606.2
39,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,61606.2
40,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,61606.2
41,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,61606.2
42,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,61606.2
43,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,60159.6
44,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,60159.6
45,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,60159.6
46,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,60159.6
47,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,59853.8
48,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,59853.8
49,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,59909.2
50,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57009.8
51,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,60528.2
52,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,59810.6
53,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,63540.8
54,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,67044.8
55,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,61071.0
56,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,66111.2
