Iteration,fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,0,1,0,1,256,2,256,46341.99998416424
1,0,1,1,0,1,128,2,4096,46615.00005560458
2,1,1,0,1,0,128,2,256,135754.40002362477
3,1,1,1,1,0,64,8,256,133653.4000486199
4,1,1,0,1,1,256,8,256,132543.59998113557
5,1,0,0,1,0,64,2,1024,130483.00004023076
6,0,0,1,1,0,128,8,1024,47023.999989910364
7,0,1,0,1,0,128,8,1024,46356.000015926154
8,0,1,0,0,1,128,8,256,46673.1999852766
9,0,1,0,0,1,64,2,256,46143.20003944073
10,0,0,0,1,0,64,2,256,46461.599992112955
11,0,1,0,0,1,256,2,1024,46142.19998822211
12,0,1,0,0,1,256,32,256,46163.40001395864
13,1,1,0,1,1,256,2,4096,125375.60001358014
14,0,1,1,0,0,128,8,4096,46157.59997374052
15,0,1,1,1,0,64,2,1024,46505.799964831385
16,0,1,0,1,1,256,2,4096,46614.99999072713
17,1,1,1,1,1,64,32,4096,131409.7999785507
18,1,0,0,0,1,256,8,1024,135761.19999771332
19,0,0,0,1,1,128,32,4096,46343.59996649261
20,0,0,0,0,1,128,8,1024,46255.19998684886
21,0,0,1,1,0,256,8,4096,46502.60001046509
22,0,0,0,0,0,64,8,1024,46349.399996020366
23,1,0,1,0,1,256,8,256,134102.00002194504
24,1,1,0,0,1,128,32,1024,133874.3999758716
25,0,0,1,1,1,64,8,256,46834.39994703718
26,1,0,1,0,0,128,2,1024,137218.19997914627
27,1,0,0,1,0,128,8,1024,136143.59996105908
28,0,0,1,0,1,64,2,1024,46185.1999900578
29,0,1,0,1,1,256,8,1024,46605.000012596094
30,0,1,1,1,1,256,8,4096,46925.40000782694
31,0,0,1,0,1,256,32,4096,47000.20002495653
32,0,1,1,1,0,64,8,1024,46311.59998225836
33,0,0,1,0,0,128,8,256,46139.99999162988
34,1,1,0,0,1,256,32,4096,134608.5999559293
35,0,0,0,1,0,64,32,256,46298.400027500276
36,1,1,1,0,0,128,2,1024,135272.20000225882
37,1,0,0,1,0,256,8,1024,132022.39996695888
38,0,1,0,1,0,64,8,256,46430.99996359966
39,1,0,0,0,1,64,32,256,134278.1999924966
40,0,1,1,1,1,256,8,4096,46925.39999751419
41,0,0,1,0,0,128,2,4096,46307.20004477627
42,1,0,1,0,1,128,2,256,136870.80000452104
43,0,1,0,0,1,128,2,256,47040.20001337514
44,0,0,1,1,1,64,2,1024,46681.79994084857
45,0,0,1,0,0,256,8,4096,46383.39998350743
46,1,1,1,1,1,64,32,1024,130551.40002857693
47,1,1,0,0,1,64,2,4096,136458.39997016746
48,0,1,0,0,1,128,32,256,46355.19998976798
49,0,0,1,1,1,64,8,256,46834.39998351715
50,0,0,0,1,1,256,2,1024,46274.20000924735
51,0,0,0,1,1,256,32,4096,46507.399996757435
52,1,0,0,0,0,256,2,256,135068.99997049393
53,1,1,1,0,0,256,8,1024,133985.0000234896
54,1,0,0,0,0,256,32,256,132823.0000265386
55,0,1,1,1,1,64,2,4096,46733.40001811396
56,0,1,0,0,1,256,8,256,46192.00000125561
57,1,0,1,1,1,128,32,256,137237.19997308738
58,1,1,0,1,0,128,8,1024,135017.0000366823
59,1,0,1,0,0,256,2,4096,134997.39998374126
60,0,1,0,0,1,128,2,256,47040.200034757356
61,0,1,0,0,1,128,2,256,47040.200018418844
62,0,1,0,0,0,64,2,256,46500.400040010456
63,0,1,0,0,1,64,2,256,46143.20005224379
64,0,1,0,0,0,128,2,256,46022.80002843829
65,0,1,0,0,0,128,2,256,46022.80000682004
66,0,1,0,0,0,128,2,256,46022.80004260336
67,0,1,0,0,0,128,2,256,46022.79999651659
68,0,1,0,0,0,128,2,256,46022.7999771105
69,0,1,0,0,0,128,2,256,46022.7999847943
70,0,1,0,0,0,128,2,256,46022.799989981686
