Iteration,WindowSize,CompressionLevel,Performance
0,11,8,5.042
1,21,8,18.874
2,18,9,11.954
3,15,10,291.618
4,10,10,363.364
5,10,10,363.364
6,21,3,2.512
7,17,7,7.636
8,23,11,315.238
9,15,5,5.072
10,17,1,1.612
11,20,0,1.63
12,23,3,2.478
13,18,11,279.692
14,21,1,1.598
15,11,7,5.078
16,12,10,328.816
17,17,7,7.636
18,17,1,1.612
19,11,4,3.04
20,24,1,1.57
21,15,4,2.834
22,18,0,1.628
23,16,10,285.0
24,10,1,1.666
25,15,10,291.618
26,10,5,3.306
27,11,7,5.078
28,12,1,1.542
29,14,0,1.472
30,14,6,4.874
31,14,2,1.9
32,12,8,5.318
33,19,9,14.048
34,13,0,1.514
35,13,0,1.514
36,22,0,1.596
37,13,0,1.514
38,13,0,1.514
39,14,6,4.874
40,20,2,2.088
41,24,8,38.644
42,19,9,14.048
43,16,3,2.508
44,13,0,1.514
45,14,11,301.078
46,22,5,7.198
47,23,0,1.556
48,21,0,1.604
49,14,3,2.302
50,13,4,2.972
51,20,11,246.08
52,18,6,7.51
53,24,2,2.04
54,23,8,37.284
55,21,0,1.604
56,16,9,9.094
57,17,5,5.886
58,15,7,6.39
59,10,4,3.02
60,14,0,1.472
61,14,10,301.488
62,14,3,2.302
63,14,11,301.078
64,11,0,1.526
65,14,6,4.874
66,19,7,10.05
67,22,2,2.05
68,12,0,1.528
69,18,8,9.684
70,14,1,1.46
71,20,1,1.636
72,17,1,1.612
73,15,1,1.52
74,24,1,1.57
75,10,9,6.246
76,11,10,343.594
77,14,5,4.678
78,16,1,1.598
79,23,4,2.726
80,21,3,2.512
81,19,1,1.604
82,12,11,328.552
83,22,6,10.266
84,14,2,1.9
85,18,7,8.628
86,20,8,14.64
87,14,9,7.404
88,17,5,5.886
89,15,10,291.618
90,24,4,2.708
91,10,1,1.666
92,23,3,2.478
93,16,11,284.296
94,14,6,4.874
95,21,2,2.06
96,11,7,5.078
97,19,0,1.614
98,14,8,6.086
99,12,1,1.542
100,22,9,34.292
101,14,0,1.472
102,14,0,1.472
103,14,0,1.472
104,14,0,1.472
105,14,0,1.472
106,13,0,1.514
107,18,5,6.714
108,14,10,301.488
109,20,0,1.63
110,17,4,2.848
111,14,1,1.46
112,24,1,1.57
113,15,1,1.52
114,10,1,1.666
115,16,1,1.598
116,23,1,1.572
117,11,1,1.526
118,21,3,2.512
119,14,11,301.078
120,19,6,9.336
121,12,2,1.988
122,22,7,19.626
123,14,1,1.46
124,13,1,1.514
125,14,1,1.46
126,18,1,1.63
127,20,1,1.636
128,14,1,1.46
129,17,1,1.612
130,24,8,38.644
131,15,9,8.084
132,14,5,4.678
133,10,10,363.364
134,23,1,1.572
135,16,4,2.77
136,11,1,1.526
137,21,3,2.512
138,14,11,301.078
139,19,6,9.336
140,12,2,1.988
141,22,7,19.626
142,14,1,1.46
143,13,8,5.62
144,18,9,11.954
145,14,1,1.46
146,20,5,7.45
147,17,10,307.144
148,14,4,2.894
149,24,1,1.57
150,15,3,2.392
151,10,1,1.666
152,16,11,284.296
153,23,6,10.22
154,11,2,1.998
155,14,7,5.896
156,21,1,1.598
157,19,8,11.508
158,14,9,7.404
159,12,1,1.542
160,22,5,7.198
161,13,10,313.652
162,18,4,2.824
163,14,1,1.46
164,17,3,2.564
165,20,1,1.636
166,14,11,301.078
167,24,6,10.176
168,15,2,1.972
169,10,1,1.666
170,23,7,20.474
171,16,8,7.548
172,14,9,7.404
173,11,1,1.526
174,21,5,7.272
175,19,10,258.558
176,14,1,1.46
177,12,4,3.004
178,22,1,1.586
179,13,3,2.37
180,14,11,301.078
181,18,6,7.51
182,20,2,2.088
183,14,1,1.46
184,17,7,7.636
185,24,8,38.644
186,15,1,1.52
187,10,9,6.246
188,14,5,4.678
189,16,10,285.0
190,23,1,1.572
191,11,4,3.04
192,21,1,1.598
193,14,3,2.302
194,19,11,258.502
195,12,6,3.846
196,22,1,1.586
197,14,2,1.9
198,13,7,5.554
199,18,8,9.684
200,20,1,1.636
201,14,9,7.404
202,17,5,5.886
203,24,10,392.744
204,15,1,1.52
205,10,4,3.02
206,14,1,1.46
207,23,3,2.478
208,16,11,284.296
209,11,6,3.57
210,21,1,1.598
211,14,2,1.9
212,19,7,10.05
213,12,8,5.318
214,22,1,1.586
215,14,9,7.404
216,13,5,4.128
217,18,10,279.698
218,20,1,1.636
219,14,4,2.894
220,17,1,1.612
221,24,3,2.478
222,15,0,1.534
223,10,11,363.346
224,14,1,1.46
225,16,6,5.77
226,14,1,1.46
227,14,1,1.46
228,14,1,1.46
229,14,1,1.46
230,14,1,1.46
231,14,1,1.46
232,14,1,1.46
233,23,1,1.572
234,14,1,1.46
235,11,2,1.998
236,21,7,15.806
237,14,8,6.086
238,19,1,1.604
239,12,9,6.47
240,22,5,7.198
241,14,1,1.46
242,13,10,313.652
243,18,4,2.824
244,20,1,1.636
245,14,0,1.472
246,17,3,2.564
247,24,1,1.57
248,15,11,292.192
249,14,6,4.874
250,10,2,2.146
251,23,7,20.474
252,16,1,1.598
253,11,8,5.042
254,14,9,7.404
255,21,1,1.598
256,19,5,7.372
257,14,1,1.46
258,14,1,1.46
259,14,10,301.488
260,12,1,1.542
261,22,4,2.748
262,13,0,1.514
263,14,1,1.46
264,18,3,2.562
265,14,11,301.078
266,20,1,1.636
267,17,6,6.34
268,24,2,2.04
269,15,7,6.39
270,14,1,1.46
271,10,8,5.046
272,16,1,1.598
273,23,9,63.68
274,11,5,3.49
275,14,10,301.488
276,21,1,1.598
277,19,4,2.8
278,12,0,1.528
279,22,3,2.5
280,14,1,1.46
281,14,1,1.46
282,13,11,315.078
283,18,6,7.51
284,20,2,2.088
285,14,1,1.46
286,17,7,7.636
287,24,8,38.644
288,14,1,1.46
289,15,9,8.084
290,10,1,1.666
291,16,5,5.392
292,14,10,301.488
293,23,4,2.726
294,11,0,1.526
295,21,1,1.598
296,19,3,2.552
297,14,1,1.46
298,12,11,328.552
299,22,6,10.266
