Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0.014920689651690208
1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0.006969010562826658
2,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0.0019859384096238167
3,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0.9950320091051887
4,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0.9920749489071395
5,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0.9970172586654436
6,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0.012901782219727088
7,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0.010919896387729043
8,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0.00497076634075532
9,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0.9960168865273825
10,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0.995050289924961
11,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0.006965061110990228
12,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0.002964287392686562
13,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0.028808654587692124
14,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0.01489945298239545
15,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0.018844239894372995
16,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0.9930645660709521
17,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0.009942934946593873
18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0.9930528807387242
19,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0.0069644000247537875
20,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0.9940643031027285
21,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0.9930261264660638
22,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0.9920528599027361
23,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0.9940196741454054
24,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0.9940236716172652
25,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0.993031052173102
26,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0.9940397063286426
27,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0.9930436114026557
28,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0.0188751124793838
29,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0.0069238675035557485
30,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0.9940381800609501
31,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0.014909294739279957
32,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0.9940339185475189
33,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0.014903514278665353
34,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0.013890035828568245
35,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0.0029476380139292473
36,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0.9920360392823315
37,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0.9900835564156131
38,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0.9920621130692048
39,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0.005957201318064645
40,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0.010902767281215505
41,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0.9940360953197599
42,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0.9940427429146996
43,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0.00696766957760408
44,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0.9950158797642246
45,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0.00694099654998685
46,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0.9940506631851243
47,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0.019859066379227037
48,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0.9940349375706777
49,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0.9920525112516673
50,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0.9920564610426311
51,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.010906283734676874
52,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.006946496729960454
53,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0.010931895032075197
54,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0.014911192732617021
55,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0.004973431648172424
