Iteration,topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
0,4,1,4,1000000,10,0,1,10,512,100,5,0,1.902965120652458e-05
1,2,10,4,10,10,0,1,10,1024,10000,5,0,4.165607989775325e-06
2,4,10,2,1000000,1,1,1,10,1024,10000,5,29,1.9784435924400055e-05
3,2,1,2,1000000,1,1,1,10,512,10000,2,0,5.994909372954099e-06
4,2,10,2,10,10,0,1000,10,512,100,5,29,0.2805667718843675
5,4,10,2,1000000,1,0,1000,10,512,10000,2,29,2.04689336503339e-05
6,2,10,4,10,1,1,1000,10,512,10000,2,0,6.602542834417553e-06
7,2,1,4,10,10,1,1000,1000,1024,10000,2,0,0.7861499531782814
8,4,1,2,10,10,0,1000,1000,1024,10000,5,29,0.2188795705566105
9,4,1,4,10,1,0,1,10,1024,100,5,29,0.014721303261773663
10,2,1,4,1000000,1,1,1,10,1024,100,2,0,0.0013519263694788558
11,2,1,4,10,10,1,1,1000,1024,100,2,0,3.829930800744932e-05
12,4,1,2,10,1,0,1000,1000,512,100,5,0,3.452986510178364e-05
13,2,10,4,1000000,10,0,1,1000,1024,10000,2,0,0.0
14,4,10,2,10,1,0,1,10,1024,10000,5,29,3.090846939594895e-05
15,4,10,4,1000000,1,1,1,10,512,100,5,29,1.9393298670818196e-05
16,2,1,2,1000000,1,1,1,1000,1024,100,5,29,9.655728164753564e-06
17,4,1,4,1000000,1,0,1000,10,1024,10000,2,29,1.63978887924323e-05
18,4,1,2,1000000,1,0,1,1000,512,10000,2,29,0.0032462833979568263
19,2,1,2,10,10,0,1000,10,512,10000,2,29,1.8053109606378896e-05
20,4,1,2,10,10,1,1000,1000,1024,10000,2,0,0.5445371710311138
21,2,10,2,1000000,1,0,1,1000,1024,100,5,0,1.5265627923577352e-05
22,2,1,4,1000000,10,1,1000,1000,1024,100,5,29,2.8775013889820763e-05
23,2,1,2,10,1,1,1,1000,512,10000,5,0,0.014755955367649334
24,4,1,4,1000000,1,0,1000,10,512,100,5,0,8.500431804773475e-06
25,4,10,2,10,1,1,1,1000,512,10000,2,29,0.01486682983951225
26,4,1,2,1000000,1,0,1000,10,1024,10000,2,0,5.038697797492108e-06
27,2,10,2,1000000,10,0,1,10,1024,100,5,0,2.081431048619587e-05
28,4,1,4,10,10,0,1,1000,1024,100,5,29,1.020664539270491e-05
29,4,1,4,10,10,1,1,1000,512,10000,5,29,0.0812120643369176
30,2,1,2,10,10,0,1,10,1024,100,5,29,0.14230191034356382
31,4,1,2,1000000,10,1,1000,1000,512,10000,2,29,1.5191369437849996e-05
32,4,1,2,1000000,10,0,1000,10,1024,100,2,0,0.0006469012610791372
33,4,1,2,10,1,0,1000,10,1024,100,2,0,0.4888536457598824
34,4,1,4,1000000,10,0,1000,10,512,100,2,0,2.241402325518791e-06
35,2,10,4,1000000,1,1,1000,1000,512,10000,5,0,1.9687891543534947e-05
36,4,10,2,1000000,1,1,1000,10,1024,100,2,0,1.4535545506689977e-05
37,4,1,4,1000000,10,0,1,1000,1024,10000,2,0,0.0055029605561129165
38,2,1,2,10,1,0,1000,10,1024,10000,2,29,8.700878097312739e-06
39,4,10,4,10,1,0,1000,1000,512,100,2,0,1.242358635074475e-05
40,2,1,4,10,1,0,1000,10,512,10000,5,0,3.071912436763454e-06
41,4,10,4,1000000,10,1,1,1000,512,100,5,29,2.8026428285564557e-06
42,4,10,2,1000000,10,0,1,10,1024,100,2,0,7.786846020679432e-05
43,4,1,2,1000000,10,0,1000,10,1024,10000,2,29,1.41670835230564e-06
44,2,1,4,1000000,10,0,1,1000,512,10000,5,29,5.519287964221128e-06
45,4,1,2,10,10,1,1,10,512,10000,2,29,2.1547197834552938e-05
46,4,10,2,10,10,0,1,10,512,100,2,29,0.1444838022008375
47,2,10,4,10,1,1,1,10,512,100,5,29,0.014970047671393052
48,2,10,4,10,1,0,1000,10,512,100,2,29,0.8719737982752385
49,4,10,2,1000000,1,1,1000,1000,512,10000,5,0,1.1879048241045165e-06
50,2,10,2,10,1,0,1000,1000,512,10000,2,29,0.7831507083815096
51,2,10,2,1000000,10,1,1000,1000,1024,10000,5,0,1.3408510417802113e-05
52,4,10,4,1000000,1,1,1000,10,1024,10000,5,0,9.257838346988123e-06
53,4,1,2,10,1,0,1000,10,1024,100,5,0,0.23519403537048214
54,4,10,2,1000000,1,1,1000,1000,1024,10000,5,0,3.245640749873574e-05
55,4,10,4,10,1,1,1,10,1024,10000,2,29,2.74418353532116e-05
56,2,1,4,10,10,0,1000,1000,1024,10000,5,0,0.32364257703212
57,4,1,4,1000000,1,1,1000,1000,1024,100,5,29,1.2236219333231369e-05
58,4,1,4,10,1,1,1,1000,512,10000,5,29,0.01436268439759419
59,2,1,2,1000000,1,1,1000,1000,512,100,2,0,4.248134024850899e-06
60,2,1,2,1000000,1,0,1,10,1024,10000,5,29,1.3519592120589831e-05
61,4,10,2,1000000,10,1,1000,10,512,100,2,29,5.2099533766584795e-05
62,4,1,4,1000000,10,1,1,1000,1024,100,5,29,8.248526109680476e-07
63,2,10,2,10,1,1,1,1000,512,100,2,0,3.055564413078408e-05
64,4,1,2,10,10,0,1000,10,512,100,2,29,0.554874845573312
65,2,10,4,1000000,1,1,1000,10,1024,10000,5,0,5.455659336542061e-06
66,4,10,2,10,1,1,1000,1000,1024,100,2,29,2.5006875357274365e-05
67,2,10,2,10,10,0,1,1000,1024,100,2,29,4.912864560528662e-05
68,2,10,2,1000000,1,1,1000,1000,1024,100,2,0,2.59757018370211e-05
69,4,1,2,1000000,10,1,1000,10,1024,10000,5,0,2.4127159261810653e-05
70,4,1,2,1000000,10,1,1000,1000,512,10000,2,29,1.3715799925310908e-05
71,4,1,2,1000000,10,1,1000,1000,512,10000,2,29,1.9952735665968866e-05
72,4,1,4,1000000,10,1,1,1000,512,10000,2,29,0.007086278551402618
73,2,1,2,1000000,10,1,1000,1000,512,10000,2,29,9.482094224959535e-06
74,4,1,2,1000000,10,0,1000,10,512,10000,2,29,2.062505859683978e-05
75,4,1,2,1000000,10,0,1000,10,1024,10000,2,29,2.378214063569923e-05
76,4,1,2,1000000,10,0,1000,10,512,10000,2,29,4.4714647591907815e-06
77,4,1,2,1000000,10,0,1000,10,1024,10000,2,29,1.924518217407132e-05
78,4,1,2,1000000,10,0,1000,10,512,10000,2,29,2.5369702226241186e-05
79,4,1,2,1000000,10,0,1000,1000,1024,10000,2,29,2.9961401339384943e-05
80,4,1,2,1000000,10,0,1000,10,512,10000,2,29,1.905092474830203e-05
81,4,1,2,1000000,10,1,1000,1000,1024,10000,2,29,1.3610441953556749e-05
82,4,1,2,1000000,10,0,1000,10,512,10000,2,29,3.57092226277607e-05
83,4,1,4,1000000,10,1,1,1000,1024,10000,2,29,0.005526218719098301
84,4,1,2,1000000,10,0,1000,10,512,10000,2,29,3.686777731327991e-05
85,4,1,2,1000000,10,1,1000,1000,1024,10000,2,29,2.605892986851432e-05
86,2,1,4,1000000,10,0,1,10,512,10000,2,29,3.11022872344942e-05
87,4,1,2,1000000,10,1,1000,1000,1024,10000,2,29,2.753059471329865e-06
88,4,1,4,10,10,0,1,10,512,10000,2,29,2.3810768708062605e-05
89,2,1,2,1000000,10,1,1000,1000,1024,10000,5,29,2.0378295112363597e-06
90,4,1,2,1000000,10,0,1000,10,512,10000,2,29,2.0025723085435487e-05
91,2,1,4,10,10,1,1,1000,1024,10000,2,29,0.15013661379748472
92,4,1,2,1000000,10,0,1000,10,512,100,5,29,1.128662669049649e-05
93,4,1,4,10,10,1,1000,1000,1024,10000,2,29,0.46152796160225673
94,2,1,2,1000000,10,0,1,10,512,100,5,29,9.57585154408067e-06
95,4,1,2,1000000,10,1,1000,1000,1024,10000,2,29,1.4277441524020157e-05
96,4,1,4,10,10,0,1,10,512,100,5,29,0.07961546835790834
97,2,1,2,1000000,10,1,1000,1000,1024,10000,2,29,6.575999600932612e-06
98,4,1,2,10,10,0,1000,10,512,10000,2,29,2.133683875672658e-05
99,2,1,4,1000000,10,1,1,1000,1024,100,5,29,1.8727400626769666e-05
100,4,1,2,1000000,10,0,1000,10,512,10000,2,29,1.046498675526804e-05
101,4,1,2,10,10,1,1000,1000,1024,100,2,29,0.0
102,2,1,4,1000000,10,0,1,10,512,10000,5,29,1.9434691489109974e-05
103,4,1,2,10,10,1,1000,1000,1024,10000,2,29,0.5361088184891012
104,4,1,2,1000000,10,0,1000,10,512,100,5,29,1.2302411849205357e-05
105,2,1,4,1000000,10,1,1,1000,1024,10000,2,29,1.8948884767435212e-05
106,4,1,2,10,10,1,1000,10,512,10000,2,29,6.212163950769106e-06
107,4,1,2,1000000,10,0,1000,1000,1024,100,5,29,7.097795737135717e-06
108,2,1,4,1000000,10,1,1,10,512,10000,2,29,3.6513451856689104e-05
109,4,1,2,10,10,0,1000,1000,1024,100,2,29,2.3750607790477325e-05
110,4,1,2,1000000,10,0,1000,10,512,10000,5,29,1.0635814676378969e-05
111,2,1,4,1000000,10,1,1,1000,1024,10000,2,29,3.8400677917785635e-06
112,4,1,2,10,10,0,1000,10,512,100,2,29,0.5548841039493293
113,4,1,2,1000000,10,1,1000,1000,1024,10000,5,29,1.8877122067127825e-05
114,2,1,4,1000000,10,0,1,10,512,10000,2,29,1.9318113361117884e-05
115,4,1,2,10,10,1,1000,1000,1024,100,2,29,1.7048170851099717e-05
116,4,1,2,1000000,10,0,1000,10,512,10000,5,29,1.4885911951633513e-05
117,2,1,4,1000000,10,1,1,1000,1024,10000,2,29,4.934018349069815e-06
118,4,1,2,10,10,0,1000,10,512,100,2,29,0.5548395427493629
119,4,1,2,1000000,10,1,1000,1000,1024,10000,5,29,2.017153236332808e-06
120,2,1,4,1000000,10,0,1,10,512,10000,2,29,0.0
121,4,1,2,10,10,1,1000,1000,1024,10000,2,29,0.5361056257792606
122,4,1,2,1000000,10,0,1000,10,512,100,5,29,8.617275458884337e-06
123,2,1,4,1000000,10,1,1,1000,1024,10000,2,29,8.02129448838628e-06
124,4,1,2,10,10,0,1000,10,512,10000,2,29,5.066879418506931e-06
125,4,1,2,1000000,10,1,1000,1000,1024,100,5,29,0.0
126,2,1,4,1000000,10,0,1,10,512,10000,2,29,2.5619775626306417e-05
127,4,10,2,1000000,10,1,1000,1000,1024,10000,2,0,4.833235501791999e-05
128,4,1,2,10,10,0,1000,10,512,100,5,29,0.2091452734977132
