Iteration,new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
0,4,3,1,0,0,1,0,1,1,1,41.082
1,2,1,1,0,0,1,1,0,1,1,46.18
2,1,2,1,0,1,0,1,0,0,1,128.854
3,4,2,2,0,0,1,1,0,1,1,32.98
4,3,3,1,0,0,1,1,1,0,1,75.458
5,3,2,2,1,1,0,0,0,1,0,38.054
6,3,3,2,1,0,1,1,1,1,0,59.422
7,2,3,2,0,0,1,1,1,0,1,104.622
8,4,1,3,1,0,0,0,0,1,0,23.552
9,4,3,3,0,1,1,0,1,0,1,48.974
10,1,2,3,1,1,0,0,0,1,1,103.728
11,1,3,2,0,0,0,0,1,0,1,182.374
12,3,3,3,0,0,0,0,0,0,0,62.624
13,2,3,3,1,1,1,0,1,0,1,91.022
14,1,3,2,0,0,0,1,0,1,0,156.338
15,2,2,1,1,1,1,0,0,0,1,60.804
16,4,2,2,1,1,0,1,0,1,0,30.84
17,4,3,3,0,1,1,1,1,1,0,44.486
18,3,2,3,1,1,1,0,0,1,1,38.446
19,1,1,2,1,1,1,0,0,0,0,79.18
20,1,1,3,0,0,1,0,0,0,0,86.77
21,3,3,1,1,0,1,0,0,0,1,58.34
22,3,1,1,0,1,1,0,1,1,1,33.254
23,1,2,2,1,1,0,1,1,0,0,131.674
24,4,3,1,1,1,1,1,0,1,0,40.842
25,3,1,3,0,0,1,1,1,1,1,34.108
26,2,1,2,0,0,0,0,1,0,1,49.876
27,3,3,2,1,0,0,0,1,0,1,63.94
28,2,2,1,0,0,0,0,0,0,0,65.146
29,1,2,3,1,1,0,1,0,0,1,123.354
30,4,1,3,1,1,0,1,0,1,0,23.474
31,4,1,3,1,0,0,1,0,1,0,23.864
32,4,1,3,1,1,0,1,0,1,0,23.474
33,4,1,3,1,1,0,1,0,1,0,23.474
34,4,1,3,1,1,0,1,0,1,0,23.474
35,4,1,3,1,1,0,1,0,1,0,23.474
36,4,1,3,1,1,0,1,0,1,0,23.474
37,4,1,3,1,1,0,1,0,1,0,23.474
38,4,1,3,1,1,0,1,0,1,0,23.474
39,4,1,3,1,1,0,1,0,1,0,23.474
40,4,1,3,1,1,0,1,0,1,0,23.474
41,4,1,3,1,1,0,1,0,1,0,23.474
42,4,1,3,1,1,0,1,0,1,0,23.474
43,2,1,1,1,1,0,1,0,1,0,42.138
44,4,1,3,1,1,0,1,0,1,0,23.474
45,4,1,3,1,1,0,1,0,1,0,23.474
46,4,1,3,1,1,0,1,0,1,0,23.474
47,2,1,1,1,1,0,1,0,1,0,42.138
48,4,1,3,1,1,0,1,0,1,0,23.474
49,4,2,3,1,1,0,1,1,1,0,31.66
50,1,1,2,1,1,0,1,0,1,0,79.702
51,2,1,3,0,1,0,1,0,1,0,46.208
52,3,3,1,1,1,0,1,1,1,0,58.8
53,4,2,3,0,1,0,1,0,1,0,32.838
54,1,1,2,1,1,1,1,0,1,0,80.156
55,4,3,3,1,0,0,1,1,1,1,43.176
56,3,2,1,0,1,1,1,0,1,0,43.108
57,2,1,2,1,0,0,0,0,0,1,43.632
58,4,3,3,1,1,1,1,1,1,0,42.526
59,1,1,3,0,1,0,0,0,0,0,84.832
60,3,2,1,1,0,0,1,0,1,1,41.444
61,4,1,2,1,1,1,1,1,1,0,23.062
62,4,3,2,0,1,1,0,1,0,0,49.028
63,2,1,2,1,0,1,1,1,1,1,47.556
64,1,2,2,1,1,1,1,1,1,0,117.354
65,4,1,2,1,1,1,0,1,0,0,23.01
66,3,1,2,0,0,1,0,1,0,1,33.852
67,4,3,2,1,1,1,0,1,0,0,47.642
68,4,1,2,1,1,1,0,1,0,0,23.01
69,1,2,2,0,1,1,0,1,0,0,133.858
70,2,1,2,1,0,1,0,1,0,1,46.984
71,4,1,2,1,1,1,0,1,0,0,23.01
72,3,3,2,1,1,1,0,1,0,0,63.314
73,4,1,2,1,1,1,0,1,0,1,23.39
74,4,1,2,0,0,1,0,1,0,0,24.858
75,1,2,2,1,1,1,0,1,0,0,126.148
76,4,1,2,1,1,1,0,1,0,0,23.01
77,2,3,2,1,1,1,0,1,0,0,90.75
78,3,1,2,0,0,1,0,1,0,1,33.852
79,4,1,2,1,1,1,0,1,0,0,23.01
80,4,1,2,1,1,1,0,1,0,0,23.01
81,4,2,1,1,1,1,0,1,0,0,34.218
82,2,1,2,1,0,1,0,1,0,1,46.984
83,1,3,2,0,1,1,0,1,0,0,180.844
84,4,1,1,1,1,1,0,1,0,0,23.666
85,3,1,2,1,1,1,0,1,0,0,31.128
86,4,2,2,1,1,1,0,1,0,0,33.97
87,4,1,1,0,0,1,0,1,0,1,25.246
88,2,3,2,1,1,1,0,1,0,0,90.75
89,1,1,2,1,1,1,0,1,0,0,86.332
90,4,1,2,1,1,1,0,1,0,0,23.01
91,3,2,1,0,0,1,0,1,0,1,50.02
92,4,1,2,1,1,1,0,1,0,0,23.01
93,4,3,2,1,1,1,0,1,0,0,47.642
94,2,1,1,1,1,1,0,1,0,0,46.912
95,4,1,2,0,0,1,0,1,0,1,25.344
96,1,2,2,1,1,1,0,1,0,0,126.148
97,3,1,2,1,1,1,0,1,0,0,31.128
98,4,1,1,1,1,1,0,1,0,0,23.666
99,4,3,2,0,0,1,0,1,0,1,49.582
100,4,1,2,1,1,1,0,1,0,0,23.01
101,4,1,2,1,1,1,0,1,0,0,23.01
102,4,1,2,1,1,1,0,1,0,0,23.01
103,4,1,2,1,1,1,0,1,0,0,23.01
104,4,1,2,1,1,1,0,1,0,0,23.01
105,4,1,2,1,1,1,0,1,0,0,23.01
106,4,1,2,1,1,1,0,1,0,0,23.01
107,4,1,2,1,1,1,0,1,0,0,23.01
108,4,1,2,1,1,1,0,1,0,0,23.01
109,4,1,2,1,1,1,0,1,0,0,23.01
110,4,1,2,1,1,1,0,1,0,0,23.01
111,4,1,2,1,1,1,0,1,0,0,23.01
112,2,1,2,1,1,1,0,1,0,0,45.708
113,1,1,2,1,1,1,0,1,0,0,86.332
114,4,2,2,1,1,1,0,1,0,0,33.97
115,3,1,1,1,1,1,0,1,0,0,30.86
116,4,1,2,1,1,1,0,1,0,0,23.01
117,4,3,2,1,1,1,0,1,0,0,47.642
118,2,1,2,1,1,1,0,1,0,0,45.708
119,4,1,2,0,0,1,0,1,0,1,25.344
120,1,2,1,1,1,1,0,1,0,0,126.312
121,4,1,2,1,1,1,0,1,0,0,23.01
122,3,1,2,1,1,1,0,1,0,0,31.128
123,4,3,2,1,1,1,0,1,0,0,47.642
124,4,1,1,0,0,1,0,1,0,1,25.246
125,2,1,2,1,1,1,0,1,0,0,45.708
126,1,2,2,1,1,1,0,1,0,0,126.148
127,4,1,3,1,1,1,0,1,0,0,23.244
128,3,3,2,1,0,1,0,1,0,1,63.924
129,4,1,2,0,1,1,0,0,0,0,24.032
130,4,1,1,1,1,0,0,1,0,0,22.794
131,4,2,1,1,1,0,0,1,0,0,33.762
132,2,1,1,1,1,0,0,1,0,0,45.512
133,1,1,1,0,0,0,0,0,0,1,85.44
134,4,3,1,1,1,0,0,1,0,0,46.31
135,3,1,1,1,1,0,0,1,0,0,30.764
136,4,1,1,1,1,0,0,1,0,0,22.794
137,4,2,1,1,1,0,0,1,1,0,29.742
138,4,1,1,0,0,0,1,0,0,1,23.632
139,2,1,1,1,1,0,0,1,0,0,45.512
140,1,3,1,1,1,0,0,1,0,0,171.528
141,4,1,1,1,1,0,0,1,0,0,22.794
142,3,1,1,1,1,0,1,0,1,0,29.006
143,4,2,1,0,0,0,0,1,0,1,36.406
144,4,1,1,1,1,0,0,1,0,0,22.794
145,4,1,1,1,1,0,0,1,0,0,22.794
146,2,3,1,1,1,0,1,1,1,0,83.95
147,4,1,1,1,1,0,0,0,0,0,21.636
148,1,1,1,0,0,0,0,0,0,1,85.44
149,4,1,1,1,1,0,0,0,0,0,21.636
150,3,2,1,1,1,0,0,0,0,0,42.238
151,4,1,1,1,1,0,1,0,1,0,79.142
152,4,3,1,1,1,0,0,0,0,0,42.47
153,2,1,1,0,0,0,0,0,0,1,45.634
154,4,1,1,1,1,0,0,0,0,0,21.636
155,1,1,1,1,1,0,0,0,0,0,78.16
156,4,2,1,1,1,0,1,0,1,0,30.186
157,3,1,1,1,1,0,0,0,0,0,28.612
158,4,1,1,1,0,0,0,0,0,1,22.254
159,4,3,1,0,1,0,0,0,0,0,44.64
160,4,1,1,1,1,0,0,0,0,0,21.636
161,2,1,1,1,1,0,1,0,1,0,42.138
162,1,2,1,1,1,0,0,0,0,0,114.088
163,4,1,1,1,1,0,0,0,0,0,21.636
164,3,1,1,0,0,0,0,0,0,1,31.37
165,4,3,3,1,1,0,0,0,0,0,43.956
166,4,1,1,1,1,0,1,0,1,0,79.142
167,4,1,1,1,1,0,0,0,0,0,21.636
168,2,2,1,1,1,0,0,0,0,0,60.6
169,1,1,3,0,0,0,0,0,0,1,86.546
170,4,1,1,1,1,0,0,0,0,0,21.636
171,3,3,1,1,1,0,1,0,1,0,56.224
172,4,1,1,1,1,0,0,0,0,0,21.636
173,4,1,1,1,1,0,0,0,0,0,21.636
174,4,2,3,0,0,0,0,0,0,1,34.752
175,2,1,1,1,1,0,0,0,0,0,41.756
176,1,1,1,1,1,0,1,0,1,0,79.166
177,4,3,1,1,1,0,0,0,0,0,42.47
178,4,1,1,1,1,0,0,0,0,0,21.636
179,3,1,3,0,0,0,0,0,0,1,32.286
180,4,1,1,1,1,0,0,0,0,0,21.636
181,4,2,1,1,1,0,1,0,1,0,30.186
182,2,1,1,1,1,0,0,0,0,0,41.756
183,4,3,1,1,1,0,0,0,0,0,42.47
184,1,1,3,0,0,0,0,0,0,1,86.546
185,4,1,1,1,1,0,0,0,0,0,21.636
186,3,1,1,1,1,0,0,0,1,0,28.77
187,4,2,1,1,1,0,1,0,0,0,33.316
188,4,1,1,1,1,0,0,0,0,0,21.636
189,2,3,3,0,0,0,0,0,0,1,88.724
190,4,1,1,1,1,0,0,0,0,0,21.636
191,1,1,1,1,1,0,0,0,0,0,78.16
192,4,1,1,1,1,0,1,0,1,0,79.142
193,3,2,1,1,1,0,0,0,0,0,42.238
194,4,1,3,1,0,0,0,0,0,1,23.61
195,4,1,1,0,1,0,0,0,0,0,23.776
196,2,3,1,1,1,0,0,0,0,0,82.424
197,4,1,1,1,1,0,1,0,1,0,79.142
198,1,1,1,1,1,0,0,0,0,0,78.16
199,4,2,3,1,0,0,0,0,0,1,32.798
200,3,1,1,0,1,0,0,0,0,0,31.298
201,4,1,1,1,1,0,0,0,0,0,21.636
202,4,3,1,1,1,0,1,0,1,0,40.818
203,4,1,1,1,1,0,0,0,0,0,21.636
204,2,1,3,1,1,0,0,0,0,0,42.996
205,1,2,1,0,0,0,0,0,0,1,122.568
206,4,1,1,1,1,0,0,0,0,0,21.636
207,3,1,1,1,1,0,1,0,1,0,29.006
208,4,3,1,1,1,0,0,0,0,0,42.47
209,4,1,3,1,1,0,0,0,0,0,22.984
210,4,1,1,0,0,0,0,0,0,1,23.38
211,2,2,1,1,1,0,0,0,0,0,60.6
212,1,1,1,1,1,0,1,0,1,0,79.166
213,4,1,1,1,1,0,0,0,0,0,21.636
214,3,3,3,1,1,0,0,0,0,0,58.522
215,4,1,1,0,0,0,0,0,0,1,23.38
216,4,1,1,1,1,0,0,0,0,0,21.636
217,4,2,1,1,1,0,1,0,1,0,30.186
218,2,1,1,1,1,0,0,0,0,0,41.756
219,1,1,3,1,1,0,0,0,0,0,79.53
220,4,3,1,0,0,0,0,0,0,1,45.34
221,3,1,1,1,1,0,0,0,0,0,28.612
222,4,1,1,1,1,0,1,0,1,0,79.142
223,4,2,1,1,1,0,0,0,0,0,31.33
224,4,1,3,1,1,0,0,0,0,0,22.984
225,2,1,1,0,0,0,0,0,0,1,45.634
226,4,1,1,1,1,0,0,0,0,0,21.636
227,4,1,1,1,1,0,0,0,0,0,21.636
228,4,1,1,1,1,0,0,0,0,0,21.636
229,4,1,1,1,1,0,0,0,0,0,21.636
230,4,1,1,1,1,0,0,0,0,0,21.636
231,4,1,1,1,1,0,0,0,0,0,21.636
232,4,1,1,1,1,0,0,0,0,0,21.636
233,4,1,1,1,1,0,0,0,0,0,21.636
234,4,1,1,1,1,0,0,0,0,0,21.636
235,4,1,1,1,1,0,0,0,0,0,21.636
236,4,1,1,1,1,0,0,0,0,0,21.636
237,4,1,1,1,1,0,0,0,0,0,21.636
238,4,1,1,1,1,0,0,0,0,0,21.636
239,4,1,1,1,1,0,0,0,0,0,21.636
240,4,1,1,1,1,0,0,0,0,0,21.636
241,4,1,1,1,1,0,0,0,0,0,21.636
242,4,1,1,1,1,0,0,0,0,0,21.636
243,4,1,1,1,1,0,0,0,0,0,21.636
244,4,1,1,1,1,0,0,0,0,0,21.636
245,1,1,1,1,1,0,0,0,0,0,78.16
246,4,1,1,1,1,0,0,0,0,0,21.636
247,3,3,1,1,1,0,0,0,0,0,57.47
248,4,1,1,1,1,0,0,0,0,0,21.636
249,4,1,3,1,1,0,0,0,0,0,22.984
250,4,2,1,1,1,0,0,0,0,0,31.33
251,2,1,1,1,1,0,0,0,0,0,41.756
252,1,1,1,1,1,0,1,0,1,0,79.166
253,4,3,1,1,1,0,0,0,0,0,42.47
254,3,1,1,1,1,0,0,0,0,1,28.7
255,4,1,3,0,0,0,0,0,0,0,24.974
256,4,1,1,1,1,0,0,0,0,0,21.636
257,4,2,1,1,1,0,0,0,1,0,28.016
258,4,1,1,1,1,0,1,0,0,0,22.018
259,2,1,1,1,1,0,0,0,0,0,41.756
260,1,3,1,1,0,0,0,0,0,1,157.142
261,4,1,3,0,1,0,0,0,0,0,24.77
262,3,1,1,1,1,0,0,0,0,0,28.612
263,4,1,1,1,1,0,1,0,1,0,79.142
264,4,2,1,1,1,0,0,0,0,0,31.33
265,4,1,1,1,1,0,0,0,0,0,21.636
266,2,1,1,0,0,0,0,0,0,1,45.634
267,4,3,3,1,1,0,0,0,0,0,43.956
268,1,1,1,1,1,0,0,0,0,0,78.16
269,4,1,1,1,1,0,1,0,1,0,79.142
270,3,1,1,1,1,0,0,0,0,0,28.612
271,4,2,1,1,1,0,0,0,0,0,31.33
272,4,1,1,0,0,0,0,0,0,1,23.38
273,4,1,3,1,1,0,0,0,0,0,22.984
274,2,3,1,1,1,0,0,0,0,0,82.424
275,4,1,1,1,1,0,1,0,1,0,79.142
276,1,1,1,1,1,0,0,0,0,0,78.16
277,4,1,1,1,1,0,0,0,0,0,21.636
278,4,2,1,0,0,0,0,0,0,1,33.488
279,3,1,3,1,1,0,0,0,0,0,29.798
280,4,1,1,1,1,0,0,0,0,0,21.636
281,4,1,1,1,1,0,1,0,1,0,79.142
282,2,3,1,1,1,0,0,0,0,0,82.424
283,4,1,1,1,1,0,0,0,0,0,21.636
284,1,1,1,0,0,0,0,0,0,1,85.44
285,4,2,3,1,1,0,0,0,0,0,32.598
286,4,1,1,1,1,0,0,0,0,0,21.636
287,3,1,1,1,1,0,1,0,1,0,29.006
288,4,1,1,1,1,0,0,0,0,0,21.636
289,4,3,1,1,1,0,0,0,0,0,42.47
290,4,1,1,0,0,0,0,0,0,1,23.38
291,2,1,3,1,1,0,0,0,0,0,42.996
292,1,2,1,1,1,0,0,0,0,0,114.088
293,4,1,1,1,1,0,1,0,1,0,79.142
294,4,1,1,1,1,0,0,0,0,0,21.636
295,3,1,1,1,1,0,0,0,0,0,28.612
296,4,3,1,0,0,0,0,0,0,1,45.34
297,4,1,2,1,1,0,0,0,0,0,22.312
298,4,1,3,1,1,0,0,0,0,0,22.984
299,2,2,1,1,1,1,0,0,1,0,54.626
